mmsi,name,imo,callsign,ship_type,length_m,width_m,mobile_class
219159000,FENJA,9192076,OYVA2,Tug,33.0,11.0,Class A
219164000,M/V ENNY,7926409,OYCM2,Cargo,86.0,14.0,Class A
219207000,DANICA RAINBOW,8503979,OWQQ2,Cargo,66.0,10.0,Class A
219212000,HAPPY OSPREY,9553646,OYHM2,Tanker,143.0,22.0,Class A
219220156,S 543 TAHA,,XPC2952,Fishing,8.0,3.0,Class B
219309000,GIJON KNUTSEN,9313527,OYOR2,Tanker,187.0,28.0,Class A
219332000,DAN CISNE,9513440,OZHP2,Tanker,207.0,32.0,Class A
219333000,DAN SABIA,9513438,OZHQ2,Tanker,206.0,32.0,Class A
219355000,AMAK SWAN,9318230,OYPD2,Tanker,93.0,14.0,Class A
219370000,WIND ENTERPRISE,9578244,OZTU2,Cargo,100.0,40.0,Class A
219384000,DANA,7912680,OXBH,Other,79.0,15.0,Class A
219500000,DANMARK,5086279,OXDK,Sailing,65.0,10.0,Class A
219517000,DANNEBROG,4537661,OUDA,Military,78.0,10.0,Class A
219522000,HDMS THETIS,,OUEU,Military,,,Class A
219523000,DANISH WARSHIP F358,,OUEV,Military,112.0,13.0,Class A
219524000,HDMS VAEDDEREN,,OUEW,Military,112.0,13.0,Class A
219525000,DANISH WARSHIP F360,,OUEX,Military,112.0,13.0,Class A
219543000,LAURA MAERSK,9944546,OZGV2,Cargo,172.0,32.0,Class A
219777000,CAMILLA HOEJ,7236311,OWIJ,Reserved,40.0,12.0,Class A
219829000,BESTLA,8027779,OVRH2,Tug,29.0,9.0,Class A
219904000,KATRINE O 111,,OXKJ,Fishing,18.0,5.0,Class A
220012000,NORDSKOV AS238,22,OU4055,Fishing,20.0,12.0,Class A
220024000,RI158 LYNGVIG,,OU7616,Fishing,16.0,4.0,Class A
220072000,R177 DUEODDE,,XP4173,Fishing,15.0,5.0,Class A
220076700,FREJA,1048576,OX3165,,,,Class A
220088000,FN 426 KJOLPEN,,OWPL,Fishing,21.0,6.0,Class A
220127000,FN 261 STJERNE,,OWRI,Fishing,17.0,6.0,Class A
220226000,MISSOURI,,OURE,Pleasure,,,Class A
220256000,CHARLOTTE P  FN 131,,XP2207,Fishing,14.0,5.0,Class A
220278000,S226 ELIN,,XP 4471,Fishing,16.0,4.0,Class A
220329000,HM281 MERCY,,OWZB,Fishing,18.0,6.0,Class A
220339000,R 60 TASMANIA,,OZNK,Fishing,17.0,6.0,Class A
220345000,SG115 CECILIE MATHIL,,OZWF,Fishing,17.0,6.0,Class A
220349000,FN 422 LINA T,,XP5692,Fishing,,,Class A
